"","year","team","pts","xpts","lastYearXpts","diffXP","xG","xGA","netTransferSpend_Attacker","netTransferSpend_Defender","netTransferSpend_Midfielder","netTransferSpend_Total","avgAge_Attacker","avgAge_Defender","avgAge_Midfielder","avgAge_Overall","n_Attacker","n_Defender","n_Midfielder"
"1",2015,"Leicester",81,68.9442,44.64,24.3042,68.416034,45.019954,9.9,-17.82,14.4,6.48,24.1875,27.1176470588235,29.4285714285714,26.35,16,17,7
"2",2015,"Arsenal",71,77.0087,75.174,1.8347,73.530928,33.8574794,-15.89,6.97,-5.13,-14.05,22.6923076923077,24,29,23.4,13,6,1
"3",2015,"Tottenham",70,69.4142,48.9361,20.4781,63.419362,37.080929,35.1,1.44,-6.75,29.79,26,25.1333333333333,22.625,24.6206896551724,6,15,8
"4",2015,"Manchester United",66,56.4429,63.0327,-6.58979999999999,45.424211,39.655822,63.4,2.07,39.6,105.07,24.3571428571429,24.2142857142857,24.2,24.2727272727273,14,14,5
"5",2015,"Manchester City",66,70.136,73.0982,-2.9622,66.19736,37.469231,60.288,22.23,78.75,161.268,22.6875,23.1666666666667,25.3333333333333,23.4864864864865,16,12,9
"6",2015,"Southampton",63,61.0763,62.8166,-1.74030000000001,56.201605,44.291609,4.23,23.31,19.8,47.34,24,26.6666666666667,24,25.2307692307692,9,12,5
"7",2015,"West Ham",62,49.8002,47.2178,2.58240000000001,54.400567,55.478657,25.74,11.07,5.341,42.151,26.3636363636364,23.5833333333333,25,24.9444444444444,11,12,13
"8",2015,"Liverpool",60,63.2906,61.1673,2.12330000000001,54.365662,37.8828599,83.385,18.99,-13.53,88.845,22.4375,23.3333333333333,25.8,23.2820512820513,16,18,5
"9",2015,"Stoke",51,48.3009,51.9715,-3.6706,42.626573,54.349917,22.5,3.96,-3.96,22.5,25.75,26.7692307692308,26.2,26.4545454545455,4,13,5
"10",2015,"Chelsea",50,59.6233,75.3172,-15.6939,54.479719,44.626242,41.4,35.46,-6.08,70.78,23.05,23.304347826087,22.1666666666667,22.8852459016393,20,23,18
"11",2015,"Swansea",47,42.3999,43.3167,-0.916800000000016,39.958642,53.634229,-12.366,-5.855,0,-18.221,23.5833333333333,23.6666666666667,21.2,23.1538461538462,12,9,5
"12",2015,"Everton",47,52.6915,50.9105,1.78099999999998,53.9810719,54.748804,11.43,12.33,-3.78,19.98,24.125,24.6363636363636,22,23.9166666666667,8,11,5
"13",2015,"West Bromwich Albion",43,42.3035,44.7359,-2.43239999999999,39.7528703,51.936846,16.78,17.64,1.89,36.31,27.25,28.8333333333333,26.7142857142857,27.5238095238095,8,6,7
"14",2015,"Crystal Palace",42,44.8943,50.557,-5.66269999999998,42.50767,52.938884,7.2,-9.09,10.48,8.59,28,23.4666666666667,24,24.875,9,15,8
"15",2015,"Sunderland",39,40.5241,44.1821,-3.658,40.517172,58.8502223,19.89,8.024,-1.03,26.884,25.5,25.1538461538462,25,25.1785714285714,6,13,9
"16",2015,"Newcastle United",37,40.2114,45.6305,-5.41910000000001,37.6056604,55.4230604,33.494,9.9,-22.77,20.624,20.9,22.6,25.0769230769231,23.0606060606061,10,10,13
"17",2015,"Aston Villa",17,29.814,40.8917,-11.0777,26.5270594,59.009573,30.6,11.232,17.1,58.932,24.0714285714286,25.25,25.25,24.8913043478261,14,24,8
"18",2016,"Chelsea",93,75.737,59.6233,16.1137,61.796887,28.6189194,31.5,35.55,31.828,98.878,23.8,23.875,22.5555555555556,23.6041666666667,15,24,9
"19",2016,"Tottenham",86,75.3717,69.4142,5.95749999999998,70.065979,33.7819329,24.84,-2.16,34.56,57.24,23.25,24,23.5,23.6,4,5,6
"20",2016,"Manchester City",78,85.4131,70.136,15.2771,79.851438,29.607516,67.95,72.45,24.3,164.7,23.6923076923077,24.3684210526316,23.5833333333333,23.9545454545455,13,19,12
"21",2016,"Liverpool",76,69.8308,63.2906,6.54019999999998,66.632558,37.6523285,-31.32,-40.658,-43.2,-115.178,22.3333333333333,25.875,22.5714285714286,24,12,16,7
"22",2016,"Arsenal",75,62.1195,77.0087,-14.8892,63.581257,47.071277,-2.7,21.6,23.4,42.3,22.5714285714286,22.8571428571429,27.4285714285714,24.2857142857143,7,7,7
"23",2016,"Manchester United",69,70.8942,56.4429,14.4513,57.571359,31.623915,-20.52,15.3,118.764,113.544,24,24,22.6,23.5625,5,6,5
"24",2016,"Everton",61,55.7771,52.6915,3.08560000000001,49.6324541,45.782984,-26.37,11.25,7.65,-7.47,25.9166666666667,26.4545454545455,27.6666666666667,26.3461538461538,12,11,3
"25",2016,"Bournemouth",46,43.1742,43.7723,-0.598099999999981,50.016134,62.992387,-55.71,1.485,8.42,-45.805,22.6153846153846,26.2727272727273,22.2727272727273,23.6571428571429,13,11,11
"26",2016,"Southampton",46,55.6851,61.0763,-5.3912,49.9841215,43.084681,28.755,4.23,13.5,46.485,23.1428571428571,28.6666666666667,23.3333333333333,25.25,7,6,3
"27",2016,"West Ham",45,46.0425,49.8002,-3.7577,48.245556,59.671571,33.12,6.39,16.56,56.07,23.9166666666667,23.5833333333333,22.2857142857143,23.4193548387097,12,12,7
"28",2016,"West Bromwich Albion",45,45.5854,42.3035,3.2819,38.213618,47.900151,6.93,-14.58,-8.01,-15.66,26.2857142857143,25.1666666666667,25,25.5238095238095,7,12,2
"29",2016,"Stoke",44,52.2932,48.3009,3.99230000000001,47.874022,48.668726,-20.83,0.473,-11.25,-31.607,25.2857142857143,24.125,30.6666666666667,25.6666666666667,7,8,3
"30",2016,"Leicester",44,48.1195,68.9442,-20.8247,44.340833,51.304373,45,3.15,18.45,66.6,24.1428571428571,26.9090909090909,25.25,25.6538461538462,7,11,8
"31",2016,"Crystal Palace",41,48.4526,44.8943,3.5583,45.40267,50.031654,-54.09,-18.945,-9.27,-82.305,25.0666666666667,27.3,24.5,25.6060606060606,15,10,8
"32",2016,"Swansea",41,36.4908,42.3999,-5.90910000000001,39.4995429,65.129661,-34.29,-23.04,5.04,-52.29,27.3,25.8333333333333,22,25.5357142857143,10,12,6
"33",2016,"Watford",40,40.6249,48.2545,-7.62959999999999,36.2545579,52.618014,-14.76,-25.42,-50.91,-91.09,21.9230769230769,26.75,25.9285714285714,25.0232558139535,13,16,14
"34",2016,"Sunderland",24,32.2426,40.5241,-8.28149999999999,34.22368,65.663528,-2.88,-29.29,16.43,-15.74,26.375,25.8823529411765,27,26.275,16,17,7
"35",2017,"Manchester City",100,91.0893,85.4131,5.67620000000001,91.434145,24.5119177,38.05,130.86,3.69,172.6,22.6666666666667,26.0833333333333,22,24,15,24,15
"36",2017,"Manchester United",81,62.3307,70.8942,-8.5635,59.043412,43.540152,76.23,-19.67,40.23,96.79,22.6666666666667,21.9,24.2,22.6666666666667,3,10,5
"37",2017,"Tottenham",77,76.0162,75.3717,0.644499999999994,68.911894,35.859433,11.7,52.56,-3.78,60.48,24.8,23.2727272727273,21.25,23.25,5,11,4
"38",2017,"Liverpool",75,79.3848,69.8308,9.55400000000002,77.485119,35.7516207,37.8,4.86,34.2,76.86,21.5,25.75,23.8,23.6666666666667,8,8,5
"39",2017,"Chelsea",70,68.457,75.737,-7.27999999999999,59.160689,34.0347137,52.29,41.22,66.51,160.02,22.5,23.8484848484848,22.2666666666667,23.1833333333333,12,33,15
"40",2017,"Arsenal",63,65.8991,62.1195,3.77960000000002,72.269335,48.745316,47.7,0,0,47.7,25.6,24.3636363636364,22,24.4444444444444,5,11,2
"41",2017,"Burnley",54,41.0017,38.3581,2.64359999999999,32.771712,52.156891,21.69,0.756,8.19,30.636,26.5833333333333,26.4,25.5,26.3461538461538,12,10,4
"42",2017,"Everton",49,47.0015,55.7771,-8.77560000000002,43.707511,55.495772,1.476,47.97,78.48,127.926,24.0909090909091,23.2727272727273,24.6666666666667,24.0294117647059,11,11,12
"43",2017,"Leicester",47,55.8547,48.1195,7.73520000000002,50.2887137,49.358723,15.03,-1.575,4.23,17.685,25.75,27.25,23.9,25.4545454545455,4,8,10
